모드,타깃,모델,Train MAE,Train R²,CV R² (5fold),Test MAE,Test R²,Train N,Test N,분할
1gi,export,XGBoost,1790.92,0.9896,0.9677,2346.97,0.9839,2378,578,8:2
1gi,export,RandomForest,1743.97,0.9888,0.9757,2270.79,0.9864,2378,578,8:2
1gi,import,XGBoost,2749.26,0.9983,0.9936,4266.65,0.9956,2378,578,8:2
1gi,import,RandomForest,2992.7,0.9956,0.9887,4117.72,0.9946,2378,578,8:2
low2gi,export,XGBoost,1346.84,0.9992,0.989,3757.71,0.994,395,94,8:2
low2gi,export,RandomForest,3043.37,0.996,0.988,3314.55,0.9948,395,94,8:2
low2gi,import,XGBoost,2346.48,0.9779,0.8976,3969.05,0.9515,395,94,8:2
low2gi,import,RandomForest,3569.29,0.9026,0.8736,4347.28,0.9426,395,94,8:2
2gi,export,XGBoost,1210.06,0.9996,0.9986,1768.01,0.9987,3147,901,8:2
2gi,export,RandomForest,1094.92,0.9995,0.9986,1263.15,0.9992,3147,901,8:2
2gi,import,XGBoost,765.17,0.9947,0.9835,716.51,0.9935,3147,901,8:2
2gi,import,RandomForest,458.28,0.9921,0.9893,325.11,0.9966,3147,901,8:2
1gi,export,XGBoost,1733.84,0.9899,0.975,2549.13,0.9797,2101,855,7:3
1gi,export,RandomForest,1751.34,0.988,0.9755,2505.93,0.9798,2101,855,7:3
1gi,import,XGBoost,2759.1,0.9983,0.9935,4509.69,0.9949,2101,855,7:3
1gi,import,RandomForest,3196.37,0.9943,0.9853,4508.2,0.9915,2101,855,7:3
low2gi,export,XGBoost,1310.06,0.9992,0.9862,3659.44,0.9943,353,136,7:3
low2gi,export,RandomForest,3269.68,0.9955,0.9867,3565.69,0.9944,353,136,7:3
low2gi,import,XGBoost,2481.04,0.9758,0.884,3846.53,0.9537,353,136,7:3
low2gi,import,RandomForest,3820.73,0.8919,0.8585,4793.9,0.9315,353,136,7:3
2gi,export,XGBoost,1232.09,0.9996,0.9985,1789.34,0.9987,2741,1307,7:3
2gi,export,RandomForest,1197.33,0.9994,0.9984,1523.54,0.9989,2741,1307,7:3
2gi,import,XGBoost,775.27,0.9935,0.9866,695.85,0.9963,2741,1307,7:3
2gi,import,RandomForest,487.44,0.9914,0.9884,341.48,0.9971,2741,1307,7:3
